,note,octave,dynamics,string,reference,klass,semitone,pitch_reference,microphone,filename,pack_filename,pack_name,pack_description,class,class_num,scale
12,D,4.0,mf,3.0,1,good-sound,50.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0006.wav,0006.wav,violin_raquel_reference,Play reference notes,good,0,False
13,D,4.0,mf,3.0,1,good-sound,50.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0006.wav,0006.wav,violin_raquel_reference,Play reference notes,good,0,False
14,D#,4.0,mf,3.0,1,good-sound,51.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0007.wav,0007.wav,violin_raquel_reference,Play reference notes,good,0,False
15,D#,4.0,mf,3.0,1,good-sound,51.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0007.wav,0007.wav,violin_raquel_reference,Play reference notes,good,0,False
16,E,4.0,mf,3.0,1,good-sound,52.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0008.wav,0008.wav,violin_raquel_reference,Play reference notes,good,0,False
17,E,4.0,mf,3.0,1,good-sound,52.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0008.wav,0008.wav,violin_raquel_reference,Play reference notes,good,0,False
18,F,4.0,mf,3.0,1,good-sound,53.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0009.wav,0009.wav,violin_raquel_reference,Play reference notes,good,0,False
19,F,4.0,mf,3.0,1,good-sound,53.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0009.wav,0009.wav,violin_raquel_reference,Play reference notes,good,0,False
20,A,4.0,mf,2.0,1,good-sound,57.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0010.wav,0010.wav,violin_raquel_reference,Play reference notes,good,0,False
21,A,4.0,mf,2.0,1,good-sound,57.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0010.wav,0010.wav,violin_raquel_reference,Play reference notes,good,0,False
22,A#,4.0,mf,2.0,1,good-sound,58.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0011.wav,0011.wav,violin_raquel_reference,Play reference notes,good,0,False
23,A#,4.0,mf,2.0,1,good-sound,58.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0011.wav,0011.wav,violin_raquel_reference,Play reference notes,good,0,False
24,B,4.0,mf,2.0,1,good-sound,59.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0012.wav,0012.wav,violin_raquel_reference,Play reference notes,good,0,False
25,B,4.0,mf,2.0,1,good-sound,59.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0012.wav,0012.wav,violin_raquel_reference,Play reference notes,good,0,False
26,C#,5.0,mf,2.0,1,good-sound,61.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0013.wav,0013.wav,violin_raquel_reference,Play reference notes,good,0,False
27,C#,5.0,mf,2.0,1,good-sound,61.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0013.wav,0013.wav,violin_raquel_reference,Play reference notes,good,0,False
28,D,5.0,mf,2.0,1,good-sound,62.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0014.wav,0014.wav,violin_raquel_reference,Play reference notes,good,0,False
29,D,5.0,mf,2.0,1,good-sound,62.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0014.wav,0014.wav,violin_raquel_reference,Play reference notes,good,0,False
30,D#,5.0,mf,2.0,1,good-sound,63.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0015.wav,0015.wav,violin_raquel_reference,Play reference notes,good,0,False
31,D#,5.0,mf,2.0,1,good-sound,63.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0015.wav,0015.wav,violin_raquel_reference,Play reference notes,good,0,False
32,E,5.0,mf,1.0,1,good-sound,64.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0016.wav,0016.wav,violin_raquel_reference,Play reference notes,good,0,False
33,E,5.0,mf,1.0,1,good-sound,64.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0016.wav,0016.wav,violin_raquel_reference,Play reference notes,good,0,False
34,F#,5.0,mf,1.0,1,good-sound,66.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0017.wav,0017.wav,violin_raquel_reference,Play reference notes,good,0,False
35,F#,5.0,mf,1.0,1,good-sound,66.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0017.wav,0017.wav,violin_raquel_reference,Play reference notes,good,0,False
36,G,5.0,mf,1.0,1,good-sound,67.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0018.wav,0018.wav,violin_raquel_reference,Play reference notes,good,0,False
37,G,5.0,mf,1.0,1,good-sound,67.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0018.wav,0018.wav,violin_raquel_reference,Play reference notes,good,0,False
38,G#,5.0,mf,1.0,1,good-sound,68.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0019.wav,0019.wav,violin_raquel_reference,Play reference notes,good,0,False
39,G#,5.0,mf,1.0,1,good-sound,68.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0019.wav,0019.wav,violin_raquel_reference,Play reference notes,good,0,False
40,A,5.0,mf,1.0,1,good-sound,69.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0020.wav,0020.wav,violin_raquel_reference,Play reference notes,good,0,False
41,A,5.0,mf,1.0,1,good-sound,69.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0020.wav,0020.wav,violin_raquel_reference,Play reference notes,good,0,False
42,E,6.0,mf,1.0,1,good-sound,76.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0021.wav,0021.wav,violin_raquel_reference,Play reference notes,good,0,False
43,E,6.0,mf,1.0,1,good-sound,76.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0021.wav,0021.wav,violin_raquel_reference,Play reference notes,good,0,False
44,F#,6.0,mf,1.0,1,good-sound,78.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0022.wav,0022.wav,violin_raquel_reference,Play reference notes,good,0,False
45,F#,6.0,mf,1.0,1,good-sound,78.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0022.wav,0022.wav,violin_raquel_reference,Play reference notes,good,0,False
46,C,4.0,mf,4.0,1,good-sound,48.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0023.wav,0023.wav,violin_raquel_reference,Play reference notes,good,0,False
47,C,4.0,mf,4.0,1,good-sound,48.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0023.wav,0023.wav,violin_raquel_reference,Play reference notes,good,0,False
48,C,4.0,mf,4.0,0,good-sound,48.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0024.wav,0024.wav,violin_raquel_reference,Play reference notes,good,0,False
49,C,4.0,mf,4.0,0,good-sound,48.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0024.wav,0024.wav,violin_raquel_reference,Play reference notes,good,0,False
50,F#,4.0,mf,3.0,0,good-sound,54.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0025.wav,0025.wav,violin_raquel_reference,Play reference notes,good,0,False
51,F#,4.0,mf,3.0,0,good-sound,54.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0025.wav,0025.wav,violin_raquel_reference,Play reference notes,good,0,False
52,F#,4.0,mf,3.0,0,good-sound,54.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0026.wav,0026.wav,violin_raquel_reference,Play reference notes,good,0,False
53,F#,4.0,mf,3.0,0,good-sound,54.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0026.wav,0026.wav,violin_raquel_reference,Play reference notes,good,0,False
54,F#,4.0,mf,3.0,1,good-sound,54.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0027.wav,0027.wav,violin_raquel_reference,Play reference notes,good,0,False
55,F#,4.0,mf,3.0,1,good-sound,54.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0027.wav,0027.wav,violin_raquel_reference,Play reference notes,good,0,False
56,F#,4.0,mf,3.0,0,good-sound,54.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0028.wav,0028.wav,violin_raquel_reference,Play reference notes,good,0,False
57,F#,4.0,mf,3.0,0,good-sound,54.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0028.wav,0028.wav,violin_raquel_reference,Play reference notes,good,0,False
58,F#,4.0,mf,3.0,0,good-sound,54.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0029.wav,0029.wav,violin_raquel_reference,Play reference notes,good,0,False
59,F#,4.0,mf,3.0,0,good-sound,54.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0029.wav,0029.wav,violin_raquel_reference,Play reference notes,good,0,False
60,G,4.0,mf,3.0,1,good-sound,55.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0030.wav,0030.wav,violin_raquel_reference,Play reference notes,good,0,False
61,G,4.0,mf,3.0,1,good-sound,55.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0030.wav,0030.wav,violin_raquel_reference,Play reference notes,good,0,False
62,G,4.0,mf,3.0,0,good-sound,55.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0031.wav,0031.wav,violin_raquel_reference,Play reference notes,good,0,False
63,G,4.0,mf,3.0,0,good-sound,55.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0031.wav,0031.wav,violin_raquel_reference,Play reference notes,good,0,False
64,G,4.0,mf,3.0,0,good-sound,55.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0032.wav,0032.wav,violin_raquel_reference,Play reference notes,good,0,False
65,G,4.0,mf,3.0,0,good-sound,55.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0032.wav,0032.wav,violin_raquel_reference,Play reference notes,good,0,False
66,G#,4.0,mf,3.0,0,good-sound,56.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0033.wav,0033.wav,violin_raquel_reference,Play reference notes,good,0,False
67,G#,4.0,mf,3.0,0,good-sound,56.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0033.wav,0033.wav,violin_raquel_reference,Play reference notes,good,0,False
68,G#,4.0,mf,3.0,1,good-sound,56.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0034.wav,0034.wav,violin_raquel_reference,Play reference notes,good,0,False
69,G#,4.0,mf,3.0,1,good-sound,56.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0034.wav,0034.wav,violin_raquel_reference,Play reference notes,good,0,False
70,G#,4.0,mf,3.0,0,good-sound,56.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0035.wav,0035.wav,violin_raquel_reference,Play reference notes,good,0,False
71,G#,4.0,mf,3.0,0,good-sound,56.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0035.wav,0035.wav,violin_raquel_reference,Play reference notes,good,0,False
72,C,5.0,mf,2.0,1,good-sound,60.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0036.wav,0036.wav,violin_raquel_reference,Play reference notes,good,0,False
73,C,5.0,mf,2.0,1,good-sound,60.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0036.wav,0036.wav,violin_raquel_reference,Play reference notes,good,0,False
74,C,5.0,mf,2.0,0,good-sound,60.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0037.wav,0037.wav,violin_raquel_reference,Play reference notes,good,0,False
75,C,5.0,mf,2.0,0,good-sound,60.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0037.wav,0037.wav,violin_raquel_reference,Play reference notes,good,0,False
76,C,5.0,mf,2.0,0,good-sound,60.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0038.wav,0038.wav,violin_raquel_reference,Play reference notes,good,0,False
77,C,5.0,mf,2.0,0,good-sound,60.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0038.wav,0038.wav,violin_raquel_reference,Play reference notes,good,0,False
78,F,5.0,mf,1.0,1,good-sound,65.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0039.wav,0039.wav,violin_raquel_reference,Play reference notes,good,0,False
79,F,5.0,mf,1.0,1,good-sound,65.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0039.wav,0039.wav,violin_raquel_reference,Play reference notes,good,0,False
80,F,5.0,mf,1.0,0,good-sound,65.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0040.wav,0040.wav,violin_raquel_reference,Play reference notes,good,0,False
81,F,5.0,mf,1.0,0,good-sound,65.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0040.wav,0040.wav,violin_raquel_reference,Play reference notes,good,0,False
82,F,5.0,mf,1.0,0,good-sound,65.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0041.wav,0041.wav,violin_raquel_reference,Play reference notes,good,0,False
83,F,5.0,mf,1.0,0,good-sound,65.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0041.wav,0041.wav,violin_raquel_reference,Play reference notes,good,0,False
84,F,5.0,mf,1.0,0,good-sound,65.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0042.wav,0042.wav,violin_raquel_reference,Play reference notes,good,0,False
85,F,5.0,mf,1.0,0,good-sound,65.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0042.wav,0042.wav,violin_raquel_reference,Play reference notes,good,0,False
86,F,5.0,mf,1.0,0,good-sound,65.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0043.wav,0043.wav,violin_raquel_reference,Play reference notes,good,0,False
87,F,5.0,mf,1.0,0,good-sound,65.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0043.wav,0043.wav,violin_raquel_reference,Play reference notes,good,0,False
88,F,5.0,mf,1.0,0,good-sound,65.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0044.wav,0044.wav,violin_raquel_reference,Play reference notes,good,0,False
89,F,5.0,mf,1.0,0,good-sound,65.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0044.wav,0044.wav,violin_raquel_reference,Play reference notes,good,0,False
90,A#,5.0,mf,1.0,0,good-sound,70.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0045.wav,0045.wav,violin_raquel_reference,Play reference notes,good,0,False
91,A#,5.0,mf,1.0,0,good-sound,70.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0045.wav,0045.wav,violin_raquel_reference,Play reference notes,good,0,False
92,A#,5.0,mf,1.0,1,good-sound,70.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0046.wav,0046.wav,violin_raquel_reference,Play reference notes,good,0,False
93,A#,5.0,mf,1.0,1,good-sound,70.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0046.wav,0046.wav,violin_raquel_reference,Play reference notes,good,0,False
94,B,5.0,mf,1.0,0,good-sound,71.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0047.wav,0047.wav,violin_raquel_reference,Play reference notes,good,0,False
95,B,5.0,mf,1.0,0,good-sound,71.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0047.wav,0047.wav,violin_raquel_reference,Play reference notes,good,0,False
96,B,5.0,mf,1.0,0,good-sound,71.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0048.wav,0048.wav,violin_raquel_reference,Play reference notes,good,0,False
97,B,5.0,mf,1.0,0,good-sound,71.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0048.wav,0048.wav,violin_raquel_reference,Play reference notes,good,0,False
98,B,5.0,mf,1.0,1,good-sound,71.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0049.wav,0049.wav,violin_raquel_reference,Play reference notes,good,0,False
99,B,5.0,mf,1.0,1,good-sound,71.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0049.wav,0049.wav,violin_raquel_reference,Play reference notes,good,0,False
100,B,5.0,mf,1.0,0,good-sound,71.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0050.wav,0050.wav,violin_raquel_reference,Play reference notes,good,0,False
101,B,5.0,mf,1.0,0,good-sound,71.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0050.wav,0050.wav,violin_raquel_reference,Play reference notes,good,0,False
102,C,6.0,mf,1.0,1,good-sound,72.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0051.wav,0051.wav,violin_raquel_reference,Play reference notes,good,0,False
103,C,6.0,mf,1.0,1,good-sound,72.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0051.wav,0051.wav,violin_raquel_reference,Play reference notes,good,0,False
104,C,6.0,mf,1.0,0,good-sound,72.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0052.wav,0052.wav,violin_raquel_reference,Play reference notes,good,0,False
105,C,6.0,mf,1.0,0,good-sound,72.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0052.wav,0052.wav,violin_raquel_reference,Play reference notes,good,0,False
106,C#,6.0,mf,1.0,1,good-sound,73.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0053.wav,0053.wav,violin_raquel_reference,Play reference notes,good,0,False
107,C#,6.0,mf,1.0,1,good-sound,73.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0053.wav,0053.wav,violin_raquel_reference,Play reference notes,good,0,False
108,C#,6.0,mf,1.0,0,good-sound,73.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0054.wav,0054.wav,violin_raquel_reference,Play reference notes,good,0,False
109,C#,6.0,mf,1.0,0,good-sound,73.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0054.wav,0054.wav,violin_raquel_reference,Play reference notes,good,0,False
110,C#,6.0,mf,1.0,0,good-sound,73.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0055.wav,0055.wav,violin_raquel_reference,Play reference notes,good,0,False
111,C#,6.0,mf,1.0,0,good-sound,73.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0055.wav,0055.wav,violin_raquel_reference,Play reference notes,good,0,False
112,D,6.0,mf,1.0,0,good-sound,74.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0056.wav,0056.wav,violin_raquel_reference,Play reference notes,good,0,False
113,D,6.0,mf,1.0,0,good-sound,74.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0056.wav,0056.wav,violin_raquel_reference,Play reference notes,good,0,False
114,D,6.0,mf,1.0,1,good-sound,74.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0057.wav,0057.wav,violin_raquel_reference,Play reference notes,good,0,False
115,D,6.0,mf,1.0,1,good-sound,74.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0057.wav,0057.wav,violin_raquel_reference,Play reference notes,good,0,False
116,D,6.0,mf,1.0,0,good-sound,74.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0058.wav,0058.wav,violin_raquel_reference,Play reference notes,good,0,False
117,D,6.0,mf,1.0,0,good-sound,74.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0058.wav,0058.wav,violin_raquel_reference,Play reference notes,good,0,False
118,D#,6.0,mf,1.0,0,good-sound,75.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0059.wav,0059.wav,violin_raquel_reference,Play reference notes,good,0,False
119,D#,6.0,mf,1.0,0,good-sound,75.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0059.wav,0059.wav,violin_raquel_reference,Play reference notes,good,0,False
120,D#,6.0,mf,1.0,1,good-sound,75.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0060.wav,0060.wav,violin_raquel_reference,Play reference notes,good,0,False
121,D#,6.0,mf,1.0,1,good-sound,75.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0060.wav,0060.wav,violin_raquel_reference,Play reference notes,good,0,False
122,F,6.0,mf,1.0,1,good-sound,77.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0061.wav,0061.wav,violin_raquel_reference,Play reference notes,good,0,False
123,F,6.0,mf,1.0,1,good-sound,77.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0061.wav,0061.wav,violin_raquel_reference,Play reference notes,good,0,False
124,F,6.0,mf,1.0,0,good-sound,77.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0062.wav,0062.wav,violin_raquel_reference,Play reference notes,good,0,False
125,F,6.0,mf,1.0,0,good-sound,77.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0062.wav,0062.wav,violin_raquel_reference,Play reference notes,good,0,False
126,F,6.0,mf,1.0,0,good-sound,77.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0063.wav,0063.wav,violin_raquel_reference,Play reference notes,good,0,False
127,F,6.0,mf,1.0,0,good-sound,77.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0063.wav,0063.wav,violin_raquel_reference,Play reference notes,good,0,False
128,G,6.0,mf,1.0,1,good-sound,79.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0064.wav,0064.wav,violin_raquel_reference,Play reference notes,good,0,False
129,G,6.0,mf,1.0,1,good-sound,79.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0064.wav,0064.wav,violin_raquel_reference,Play reference notes,good,0,False
130,G,6.0,mf,1.0,0,good-sound,79.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0065.wav,0065.wav,violin_raquel_reference,Play reference notes,good,0,False
131,G,6.0,mf,1.0,0,good-sound,79.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0065.wav,0065.wav,violin_raquel_reference,Play reference notes,good,0,False
132,G,6.0,mf,1.0,0,good-sound,79.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0066.wav,0066.wav,violin_raquel_reference,Play reference notes,good,0,False
133,G,6.0,mf,1.0,0,good-sound,79.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0066.wav,0066.wav,violin_raquel_reference,Play reference notes,good,0,False
134,G,6.0,mf,1.0,0,good-sound,79.0,442.0,akg,GoodSounds/violin_raquel_reference/akg/0067.wav,0067.wav,violin_raquel_reference,Play reference notes,good,0,False
135,G,6.0,mf,1.0,0,good-sound,79.0,442.0,neumann,GoodSounds/violin_raquel_reference/neumann/0067.wav,0067.wav,violin_raquel_reference,Play reference notes,good,0,False
136,G,3.0,<,4.0,0,bad-dynamics-crescendo,43.0,442.0,akg,GoodSounds/violin_raquel_dynamics_stability/akg/0000.wav,0000.wav,violin_raquel_dynamics_stability,Notes to study dynamics stability,bad-dynamics,1,False
137,G,3.0,<,4.0,0,bad-dynamics-crescendo,43.0,442.0,neumann,GoodSounds/violin_raquel_dynamics_stability/neumann/0000.wav,0000.wav,violin_raquel_dynamics_stability,Notes to study dynamics stability,bad-dynamics,1,False
138,G#,3.0,<,4.0,0,bad-dynamics-crescendo,44.0,442.0,akg,GoodSounds/violin_raquel_dynamics_stability/akg/0001.wav,0001.wav,violin_raquel_dynamics_stability,Notes to study dynamics stability,bad-dynamics,1,False
139,G#,3.0,<,4.0,0,bad-dynamics-crescendo,44.0,442.0,neumann,GoodSounds/violin_raquel_dynamics_stability/neumann/0001.wav,0001.wav,violin_raquel_dynamics_stability,Notes to study dynamics stability,bad-dynamics,1,False
140,A,3.0,<,4.0,0,bad-dynamics-crescendo,45.0,442.0,akg,GoodSounds/violin_raquel_dynamics_stability/akg/0002.wav,0002.wav,violin_raquel_dynamics_stability,Notes to study dynamics stability,bad-dynamics,1,False
141,A,3.0,<,4.0,0,bad-dynamics-crescendo,45.0,442.0,neumann,GoodSounds/violin_raquel_dynamics_stability/neumann/0002.wav,0002.wav,violin_raquel_dynamics_stability,Notes to study dynamics stability,bad-dynamics,1,False
142,A#,3.0,<,4.0,0,bad-dynamics-crescendo,46.0,442.0,akg,GoodSounds/violin_raquel_dynamics_stability/akg/0003.wav,0003.wav,violin_raquel_dynamics_stability,Notes to study dynamics stability,bad-dynamics,1,False
143,A#,3.0,<,4.0,0,bad-dynamics-crescendo,46.0,442.0,neumann,GoodSounds/violin_raquel_dynamics_stability/neumann/0003.wav,0003.wav,violin_raquel_dynamics_stability,Notes to study dynamics stability,bad-dynamics,1,False
144,B,3.0,<,4.0,0,bad-dynamics-crescendo,47.0,442.0,akg,GoodSounds/violin_raquel_dynamics_stability/akg/0004.wav,0004.wav,violin_raquel_dynamics_stability,Notes to study dynamics stability,bad-dynamics,1,False
145,B,3.0,<,4.0,0,bad-dynamics-crescendo,47.0,442.0,neumann,GoodSounds/violin_raquel_dynamics_stability/neumann/0004.wav,0004.wav,violin_raquel_dynamics_stability,Notes to study dynamics stability,bad-dynamics,1,False
146,C,4.0,<,4.0,0,bad-dynamics-crescendo,48.0,442.0,akg,GoodSounds/violin_raquel_dynamics_stability/akg/0005.wav,0005.wav,violin_raquel_dynamics_stability,Notes to study dynamics stability,bad-dynamics,1,False
147,C,4.0,<,4.0,0,bad-dynamics-crescendo,48.0,442.0,neumann,GoodSounds/violin_raquel_dynamics_stability/neumann/0005.wav,0005.wav,violin_raquel_dynamics_stability,Notes to study dynamics stability,bad-dynamics,1,False
148,C#,4.0,<,4.0,0,bad-dynamics-crescendo,49.0,442.0,akg,GoodSounds/violin_raquel_dynamics_stability/akg/0006.wav,0006.wav,violin_raquel_dynamics_stability,Notes to study dynamics stability,bad-dynamics,1,False
149,C#,4.0,<,4.0,0,bad-dynamics-crescendo,49.0,442.0,neumann,GoodSounds/violin_raquel_dynamics_stability/neumann/0006.wav,0006.wav,violin_raquel_dynamics_stability,Notes to study dynamics stability,bad-dynamics,1,False
